"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: mapType","Param: workloadFile"
"com.github.rohansuri.art.ycsb.Long.C.lookup","avgt",1,10,43809.990525,284.234751,"ns/op",ART,c_uniform_1000_randint_txn.dat
"com.github.rohansuri.art.ycsb.Long.C.lookup","avgt",1,10,245012.545946,1025.677461,"ns/op",ART,c_uniform_5000_randint_txn.dat
"com.github.rohansuri.art.ycsb.Long.C.lookup","avgt",1,10,562176.543226,3260.954907,"ns/op",ART,c_uniform_10000_randint_txn.dat
"com.github.rohansuri.art.ycsb.Long.C.lookup","avgt",1,10,3325937.487186,39421.890978,"ns/op",ART,c_uniform_50000_randint_txn.dat
"com.github.rohansuri.art.ycsb.Long.C.lookup","avgt",1,10,13265349.788507,192232.969594,"ns/op",ART,c_uniform_100000_randint_txn.dat
"com.github.rohansuri.art.ycsb.Long.C.lookup","avgt",1,10,123907521.355556,1818642.734079,"ns/op",ART,c_uniform_500000_randint_txn.dat
"com.github.rohansuri.art.ycsb.Long.C.lookup","avgt",1,10,315374283.225000,5868137.269244,"ns/op",ART,c_uniform_1000000_randint_txn.dat
"com.github.rohansuri.art.ycsb.Long.C.lookup","avgt",1,10,1858527033.000000,80324931.095881,"ns/op",ART,c_uniform_5000000_randint_txn.dat
"com.github.rohansuri.art.ycsb.Long.C.lookup","avgt",1,10,4251622116.000000,30971251.815787,"ns/op",ART,c_uniform_10000000_randint_txn.dat
"com.github.rohansuri.art.ycsb.Long.C.lookup","avgt",1,10,70924.058674,1921.968434,"ns/op",TREE_MAP,c_uniform_1000_randint_txn.dat
"com.github.rohansuri.art.ycsb.Long.C.lookup","avgt",1,10,607977.123611,4599.170497,"ns/op",TREE_MAP,c_uniform_5000_randint_txn.dat
"com.github.rohansuri.art.ycsb.Long.C.lookup","avgt",1,10,1546977.333670,10795.738709,"ns/op",TREE_MAP,c_uniform_10000_randint_txn.dat
"com.github.rohansuri.art.ycsb.Long.C.lookup","avgt",1,10,7468909.772569,87710.292391,"ns/op",TREE_MAP,c_uniform_50000_randint_txn.dat
"com.github.rohansuri.art.ycsb.Long.C.lookup","avgt",1,10,22509141.634541,224228.629020,"ns/op",TREE_MAP,c_uniform_100000_randint_txn.dat
"com.github.rohansuri.art.ycsb.Long.C.lookup","avgt",1,10,276644987.350000,2509220.212321,"ns/op",TREE_MAP,c_uniform_500000_randint_txn.dat
"com.github.rohansuri.art.ycsb.Long.C.lookup","avgt",1,10,744499392.800000,6732205.250578,"ns/op",TREE_MAP,c_uniform_1000000_randint_txn.dat
"com.github.rohansuri.art.ycsb.Long.C.lookup","avgt",1,10,6226485205.600000,135040679.078794,"ns/op",TREE_MAP,c_uniform_5000000_randint_txn.dat
"com.github.rohansuri.art.ycsb.Long.C.lookup","avgt",1,10,13430055587.600000,55328688.939699,"ns/op",TREE_MAP,c_uniform_10000000_randint_txn.dat
"com.github.rohansuri.art.ycsb.Long.E.rangeScanAndInsert","avgt",1,10,723358.461583,3308.013375,"ns/op",ART,e_uniform_1000_randint_txn.dat
"com.github.rohansuri.art.ycsb.Long.E.rangeScanAndInsert","avgt",1,10,5866649.281366,43153.730279,"ns/op",ART,e_uniform_5000_randint_txn.dat
"com.github.rohansuri.art.ycsb.Long.E.rangeScanAndInsert","avgt",1,10,10751182.194158,99602.935235,"ns/op",ART,e_uniform_10000_randint_txn.dat
"com.github.rohansuri.art.ycsb.Long.E.rangeScanAndInsert","avgt",1,10,66781640.757500,710859.372519,"ns/op",ART,e_uniform_50000_randint_txn.dat
"com.github.rohansuri.art.ycsb.Long.E.rangeScanAndInsert","avgt",1,10,149844297.985714,2460181.279745,"ns/op",ART,e_uniform_100000_randint_txn.dat
"com.github.rohansuri.art.ycsb.Long.E.rangeScanAndInsert","avgt",1,10,1275025433.600000,23418201.589314,"ns/op",ART,e_uniform_500000_randint_txn.dat
"com.github.rohansuri.art.ycsb.Long.E.rangeScanAndInsert","avgt",1,10,3451179177.800000,29703218.041043,"ns/op",ART,e_uniform_1000000_randint_txn.dat
"com.github.rohansuri.art.ycsb.Long.E.rangeScanAndInsert","avgt",1,10,18618563272.800000,59462251.459322,"ns/op",ART,e_uniform_5000000_randint_txn.dat
"com.github.rohansuri.art.ycsb.Long.E.rangeScanAndInsert","avgt",1,10,47002784726.100000,119819823.294640,"ns/op",ART,e_uniform_10000000_randint_txn.dat
"com.github.rohansuri.art.ycsb.Long.E.rangeScanAndInsert","avgt",1,10,389993.841343,4321.810723,"ns/op",TREE_MAP,e_uniform_1000_randint_txn.dat
"com.github.rohansuri.art.ycsb.Long.E.rangeScanAndInsert","avgt",1,10,3685565.203433,47334.778113,"ns/op",TREE_MAP,e_uniform_5000_randint_txn.dat
"com.github.rohansuri.art.ycsb.Long.E.rangeScanAndInsert","avgt",1,10,7825009.053853,60598.752584,"ns/op",TREE_MAP,e_uniform_10000_randint_txn.dat
"com.github.rohansuri.art.ycsb.Long.E.rangeScanAndInsert","avgt",1,10,42091495.290500,382986.680088,"ns/op",TREE_MAP,e_uniform_50000_randint_txn.dat
"com.github.rohansuri.art.ycsb.Long.E.rangeScanAndInsert","avgt",1,10,79272661.338462,1406790.461573,"ns/op",TREE_MAP,e_uniform_100000_randint_txn.dat
"com.github.rohansuri.art.ycsb.Long.E.rangeScanAndInsert","avgt",1,10,747932900.450000,14491542.878508,"ns/op",TREE_MAP,e_uniform_500000_randint_txn.dat
"com.github.rohansuri.art.ycsb.Long.E.rangeScanAndInsert","avgt",1,10,2206794790.100000,19749062.981891,"ns/op",TREE_MAP,e_uniform_1000000_randint_txn.dat
"com.github.rohansuri.art.ycsb.Long.E.rangeScanAndInsert","avgt",1,10,20149209492.200000,146418817.279330,"ns/op",TREE_MAP,e_uniform_5000000_randint_txn.dat
"com.github.rohansuri.art.ycsb.Long.E.rangeScanAndInsert","avgt",1,10,24131949835.500000,92723831.179936,"ns/op",TREE_MAP,e_uniform_10000000_randint_txn.dat
"com.github.rohansuri.art.ycsb.Long.Load.insert","avgt",1,10,65791.802228,514.206191,"ns/op",ART,c_uniform_1000_randint_load.dat
"com.github.rohansuri.art.ycsb.Long.Load.insert","avgt",1,10,396101.002104,1473.610553,"ns/op",ART,c_uniform_5000_randint_load.dat
"com.github.rohansuri.art.ycsb.Long.Load.insert","avgt",1,10,824208.515581,18063.747955,"ns/op",ART,c_uniform_10000_randint_load.dat
"com.github.rohansuri.art.ycsb.Long.Load.insert","avgt",1,10,4126261.355118,77301.672976,"ns/op",ART,c_uniform_50000_randint_load.dat
"com.github.rohansuri.art.ycsb.Long.Load.insert","avgt",1,10,11480091.376241,147894.047053,"ns/op",ART,c_uniform_100000_randint_load.dat
"com.github.rohansuri.art.ycsb.Long.Load.insert","avgt",1,10,97646867.700000,1637321.052080,"ns/op",ART,c_uniform_500000_randint_load.dat
"com.github.rohansuri.art.ycsb.Long.Load.insert","avgt",1,10,223925629.940000,4946788.767714,"ns/op",ART,c_uniform_1000000_randint_load.dat
"com.github.rohansuri.art.ycsb.Long.Load.insert","avgt",1,10,1966584443.600000,98279234.050739,"ns/op",ART,c_uniform_5000000_randint_load.dat
"com.github.rohansuri.art.ycsb.Long.Load.insert","avgt",1,10,5711230114.500000,235751550.704232,"ns/op",ART,c_uniform_10000000_randint_load.dat
"com.github.rohansuri.art.ycsb.Long.Load.insert","avgt",1,10,71188.641600,409.536641,"ns/op",TREE_MAP,c_uniform_1000_randint_load.dat
"com.github.rohansuri.art.ycsb.Long.Load.insert","avgt",1,10,545005.643592,5093.695128,"ns/op",TREE_MAP,c_uniform_5000_randint_load.dat
"com.github.rohansuri.art.ycsb.Long.Load.insert","avgt",1,10,1414148.934902,8583.079620,"ns/op",TREE_MAP,c_uniform_10000_randint_load.dat
"com.github.rohansuri.art.ycsb.Long.Load.insert","avgt",1,10,10729369.739384,100748.107884,"ns/op",TREE_MAP,c_uniform_50000_randint_load.dat
"com.github.rohansuri.art.ycsb.Long.Load.insert","avgt",1,10,25714835.579038,232007.493047,"ns/op",TREE_MAP,c_uniform_100000_randint_load.dat
"com.github.rohansuri.art.ycsb.Long.Load.insert","avgt",1,10,297373432.375000,8577482.521613,"ns/op",TREE_MAP,c_uniform_500000_randint_load.dat
"com.github.rohansuri.art.ycsb.Long.Load.insert","avgt",1,10,806652857.150000,39222366.273777,"ns/op",TREE_MAP,c_uniform_1000000_randint_load.dat
"com.github.rohansuri.art.ycsb.Long.Load.insert","avgt",1,10,5874506426.300000,352593523.931359,"ns/op",TREE_MAP,c_uniform_5000000_randint_load.dat
"com.github.rohansuri.art.ycsb.Long.Load.insert","avgt",1,10,13909268595.900000,719607693.532066,"ns/op",TREE_MAP,c_uniform_10000000_randint_load.dat
