"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: mapType","Param: workloadFile"
"com.github.rohansuri.art.ycsb.string.C.lookup","avgt",1,10,93997.972981,1599.489603,"ns/op",ART,c_uniform_1000_repo_txn.dat
"com.github.rohansuri.art.ycsb.string.C.lookup","avgt",1,10,746464.176990,94635.907348,"ns/op",ART,c_uniform_5000_repo_txn.dat
"com.github.rohansuri.art.ycsb.string.C.lookup","avgt",1,10,1613726.969950,70582.619648,"ns/op",ART,c_uniform_10000_repo_txn.dat
"com.github.rohansuri.art.ycsb.string.C.lookup","avgt",1,10,13358092.772132,1706802.810335,"ns/op",ART,c_uniform_50000_repo_txn.dat
"com.github.rohansuri.art.ycsb.string.C.lookup","avgt",1,10,38319555.706980,681180.362564,"ns/op",ART,c_uniform_100000_repo_txn.dat
"com.github.rohansuri.art.ycsb.string.C.lookup","avgt",1,10,291882020.675000,2822955.718298,"ns/op",ART,c_uniform_500000_repo_txn.dat
"com.github.rohansuri.art.ycsb.string.C.lookup","avgt",1,10,695846416.900000,5755649.810680,"ns/op",ART,c_uniform_1000000_repo_txn.dat
"com.github.rohansuri.art.ycsb.string.C.lookup","avgt",1,10,4472727717.300000,50520583.619000,"ns/op",ART,c_uniform_5000000_repo_txn.dat
"com.github.rohansuri.art.ycsb.string.C.lookup","avgt",1,10,10691876012.800000,429184970.856136,"ns/op",ART,c_uniform_10000000_repo_txn.dat
"com.github.rohansuri.art.ycsb.string.C.lookup","avgt",1,10,100384.968000,1477.878476,"ns/op",TREE_MAP,c_uniform_1000_repo_txn.dat
"com.github.rohansuri.art.ycsb.string.C.lookup","avgt",1,10,945445.530363,12818.640574,"ns/op",TREE_MAP,c_uniform_5000_repo_txn.dat
"com.github.rohansuri.art.ycsb.string.C.lookup","avgt",1,10,2337145.787718,21169.690081,"ns/op",TREE_MAP,c_uniform_10000_repo_txn.dat
"com.github.rohansuri.art.ycsb.string.C.lookup","avgt",1,10,16266228.497312,111383.426149,"ns/op",TREE_MAP,c_uniform_50000_repo_txn.dat
"com.github.rohansuri.art.ycsb.string.C.lookup","avgt",1,10,48995892.357792,1133285.968539,"ns/op",TREE_MAP,c_uniform_100000_repo_txn.dat
"com.github.rohansuri.art.ycsb.string.C.lookup","avgt",1,10,549490502.100000,8212183.338070,"ns/op",TREE_MAP,c_uniform_500000_repo_txn.dat
"com.github.rohansuri.art.ycsb.string.C.lookup","avgt",1,10,1338582385.500000,19157880.169900,"ns/op",TREE_MAP,c_uniform_1000000_repo_txn.dat
"com.github.rohansuri.art.ycsb.string.C.lookup","avgt",1,10,8346751932.700000,45643925.493371,"ns/op",TREE_MAP,c_uniform_5000000_repo_txn.dat
"com.github.rohansuri.art.ycsb.string.C.lookup","avgt",1,10,19495295239.700000,209788949.723593,"ns/op",TREE_MAP,c_uniform_10000000_repo_txn.dat
"com.github.rohansuri.art.ycsb.string.Load.insert","avgt",1,10,143510.402461,4737.021765,"ns/op",ART,c_uniform_1000_repo_load.dat
"com.github.rohansuri.art.ycsb.string.Load.insert","avgt",1,10,854707.271406,33147.305001,"ns/op",ART,c_uniform_5000_repo_load.dat
"com.github.rohansuri.art.ycsb.string.Load.insert","avgt",1,10,1973676.231518,344729.472597,"ns/op",ART,c_uniform_10000_repo_load.dat
"com.github.rohansuri.art.ycsb.string.Load.insert","avgt",1,10,12849312.651930,741443.360832,"ns/op",ART,c_uniform_50000_repo_load.dat
"com.github.rohansuri.art.ycsb.string.Load.insert","avgt",1,10,31784883.267720,5992803.536724,"ns/op",ART,c_uniform_100000_repo_load.dat
"com.github.rohansuri.art.ycsb.string.Load.insert","avgt",1,10,243388939.150000,38122371.768977,"ns/op",ART,c_uniform_500000_repo_load.dat
"com.github.rohansuri.art.ycsb.string.Load.insert","avgt",1,10,364752344.333333,37652436.434589,"ns/op",ART,c_uniform_1000000_repo_load.dat
"com.github.rohansuri.art.ycsb.string.Load.insert","avgt",1,10,2962432761.000000,151217026.174485,"ns/op",ART,c_uniform_5000000_repo_load.dat
"com.github.rohansuri.art.ycsb.string.Load.insert","avgt",1,10,6886703975.200000,272745459.916116,"ns/op",ART,c_uniform_10000000_repo_load.dat
"com.github.rohansuri.art.ycsb.string.Load.insert","avgt",1,10,142366.147195,11869.504600,"ns/op",TREE_MAP,c_uniform_1000_repo_load.dat
"com.github.rohansuri.art.ycsb.string.Load.insert","avgt",1,10,906176.455973,81297.375499,"ns/op",TREE_MAP,c_uniform_5000_repo_load.dat
"com.github.rohansuri.art.ycsb.string.Load.insert","avgt",1,10,2139477.054718,214210.856745,"ns/op",TREE_MAP,c_uniform_10000_repo_load.dat
"com.github.rohansuri.art.ycsb.string.Load.insert","avgt",1,10,13804674.793821,335315.818464,"ns/op",TREE_MAP,c_uniform_50000_repo_load.dat
"com.github.rohansuri.art.ycsb.string.Load.insert","avgt",1,10,29965617.557380,1401332.681269,"ns/op",TREE_MAP,c_uniform_100000_repo_load.dat
"com.github.rohansuri.art.ycsb.string.Load.insert","avgt",1,10,325147964.291667,8048763.604174,"ns/op",TREE_MAP,c_uniform_500000_repo_load.dat
"com.github.rohansuri.art.ycsb.string.Load.insert","avgt",1,10,622603762.200000,15678273.558723,"ns/op",TREE_MAP,c_uniform_1000000_repo_load.dat
"com.github.rohansuri.art.ycsb.string.Load.insert","avgt",1,10,6414200922.200000,399862820.048698,"ns/op",TREE_MAP,c_uniform_5000000_repo_load.dat
"com.github.rohansuri.art.ycsb.string.Load.insert","avgt",1,10,13705172477.400000,832749694.181501,"ns/op",TREE_MAP,c_uniform_10000000_repo_load.dat
