"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: mapType","Param: workloadFile"
"com.github.rohansuri.art.ycsb.Long.Load.insert","avgt",1,10,79519.185147,4574.786076,"ns/op",ART,c_uniform_1000_randint_load.dat
"com.github.rohansuri.art.ycsb.Long.Load.insert","avgt",1,10,366839.496310,17940.552797,"ns/op",ART,c_uniform_5000_randint_load.dat
"com.github.rohansuri.art.ycsb.Long.Load.insert","avgt",1,10,943010.382791,398873.460437,"ns/op",ART,c_uniform_10000_randint_load.dat
"com.github.rohansuri.art.ycsb.Long.Load.insert","avgt",1,10,4746187.223150,1103279.747875,"ns/op",ART,c_uniform_50000_randint_load.dat
"com.github.rohansuri.art.ycsb.Long.Load.insert","avgt",1,10,16244119.707845,5941340.969429,"ns/op",ART,c_uniform_100000_randint_load.dat
"com.github.rohansuri.art.ycsb.Long.Load.insert","avgt",1,10,113594470.204040,24344962.340358,"ns/op",ART,c_uniform_500000_randint_load.dat
"com.github.rohansuri.art.ycsb.Long.Load.insert","avgt",1,10,325851281.966667,47127007.267533,"ns/op",ART,c_uniform_1000000_randint_load.dat
"com.github.rohansuri.art.ycsb.Long.Load.insert","avgt",1,10,1854072064.800000,241403104.573319,"ns/op",ART,c_uniform_5000000_randint_load.dat
"com.github.rohansuri.art.ycsb.Long.Load.insert","avgt",1,10,4023324301.700000,448159501.440775,"ns/op",ART,c_uniform_10000000_randint_load.dat
"com.github.rohansuri.art.ycsb.Long.Load.insert","avgt",1,10,44182537525.700000,5963707053.459306,"ns/op",ART,c_uniform_50000000_randint_load.dat
"com.github.rohansuri.art.ycsb.Long.Load.insert","avgt",1,10,69756.885696,459.308098,"ns/op",TREE_MAP,c_uniform_1000_randint_load.dat
"com.github.rohansuri.art.ycsb.Long.Load.insert","avgt",1,10,532027.432109,7166.259642,"ns/op",TREE_MAP,c_uniform_5000_randint_load.dat
"com.github.rohansuri.art.ycsb.Long.Load.insert","avgt",1,10,1438781.480793,139561.372842,"ns/op",TREE_MAP,c_uniform_10000_randint_load.dat
"com.github.rohansuri.art.ycsb.Long.Load.insert","avgt",1,10,10849011.689258,806233.859446,"ns/op",TREE_MAP,c_uniform_50000_randint_load.dat
"com.github.rohansuri.art.ycsb.Long.Load.insert","avgt",1,10,25436961.149228,692714.174478,"ns/op",TREE_MAP,c_uniform_100000_randint_load.dat
"com.github.rohansuri.art.ycsb.Long.Load.insert","avgt",1,10,300074443.100000,5534667.557488,"ns/op",TREE_MAP,c_uniform_500000_randint_load.dat
